,DNI,DHI,GHI,albedo,GpoaF,GpoaR,sunalt,sunazi
2020-02-21 14:00:00,57.9,172.9,195.4,0.206,237.0833342,18.71330509,0.32696513389302156,0.5664466069894303
2020-02-21 15:00:00,86.2,156.2,186.0,0.206,249.3333329,17.84790001,0.23381351879401832,0.8159462703413527
2020-02-21 16:00:00,0.3,54.8,54.9,0.206,49.15000036,4.208800004,0.1172058901557779,1.048433823756322
2020-02-22 07:00:00,0.0,0.0,0.0,0.206,0.0,-0.760031248,0.010162520258006921,-1.2363039756501832
2020-02-22 08:00:00,0.1,3.7,3.7,0.206,1.166666689,-0.491591667,0.14037324299189605,-1.0148556297540785
2020-02-22 09:00:00,0.2,20.0,20.0,0.206,19.08333344,1.54616667,0.25463820413977856,-0.7798131080457376
2020-02-22 10:00:00,0.2,59.7,59.6,0.206,55.93333344,5.909124985,0.3440029422324143,-0.5270942826269498
2020-02-22 11:00:00,0.2,47.5,47.5,0.206,47.91666692,3.916758339,0.40037562251443254,-0.2573972799625257
2020-02-22 12:00:00,0.3,76.5,76.5,0.206,69.26666629,7.785108374,0.41785170711454467,0.022466265594764945
2020-02-22 13:00:00,0.2,68.9,69.0,0.206,63.43333386,6.760841656,0.39443132080679566,0.30150562653669155
2020-02-22 14:00:00,0.6,87.3,87.7,0.206,95.51666748,7.295241632,0.3328003506025464,0.5689967285034703
2020-02-22 15:00:00,134.7,168.2,215.8,0.206,312.283334,19.32141669,0.23930548666100834,0.8191654376442061
2020-02-22 16:00:00,49.7,90.5,103.7,0.206,101.6000006,9.356766666,0.12231456277507907,1.0520408416162113
2020-02-23 07:00:00,0.0,0.0,0.0,0.206,0.0,-1.575026316,0.01586019402690053,-1.2392904277318926
2020-02-23 08:00:00,0.2,14.6,14.4,0.206,8.700000033,-0.045158334,0.14612385922925364,-1.0175075615593752
2020-02-23 09:00:00,12.2,61.6,63.7,0.206,73.28333364,6.325924993,0.260659592153554,-0.7819268989921078
2020-02-23 10:00:00,5.1,108.3,109.6,0.206,114.0500004,12.10558337,0.3502424927374977,-0.52848085072455
2020-02-23 11:00:00,2.7,145.7,146.8,0.206,149.8666679,15.75841663,0.40674025570555145,-0.2578190684468673
2020-02-23 12:00:00,9.0,198.8,203.0,0.206,213.6166666,22.87333326,0.4242032531288004,0.023159548770900873
2020-02-23 13:00:00,0.3,105.9,106.0,0.206,97.66666697,10.89782505,0.4005942721271345,0.3032751984119959
2020-02-23 14:00:00,0.2,77.9,77.9,0.206,64.31666669,6.185691646,0.33866999218623783,0.5716486585634373
2020-02-23 15:00:00,0.2,52.1,52.1,0.206,46.15000033,4.176033338,0.24483672757776098,0.8224282329423711
2020-02-23 16:00:00,0.3,52.2,52.1,0.206,44.51666703,4.123316679,0.12747516243028573,1.0557351224480422
2020-02-24 07:00:00,0.0,0.0,0.0,0.206,0.0,-2.297666669,0.021654053763536095,-1.242238095106964
2020-02-24 08:00:00,112.4,28.1,35.7,0.206,28.53333351,1.045133324,0.15195190647527745,-1.0201400975206942
2020-02-24 09:00:00,179.7,81.0,109.8,0.206,170.1666673,8.562849983,0.26675224388055074,-0.7840455349724822
2020-02-24 10:00:00,136.1,147.1,185.0,0.206,262.8166658,15.30424997,0.35654313203532884,-0.5298334808948457
2020-02-24 11:00:00,87.9,211.3,243.8,0.206,308.0833331,23.18199995,0.4131635513326923,-0.258206919003904
2020-02-24 12:00:00,31.9,224.6,238.8,0.206,266.4000009,25.05366658,0.43060084930630427,0.02392070605631691
2020-02-24 13:00:00,3.4,173.2,174.9,0.206,169.0666661,19.06791664,0.4068129772922969,0.30510779412658984
2020-02-24 14:00:00,0.8,143.8,144.1,0.206,137.4666686,15.52083334,0.34458520274590254,0.5743587709193494
2020-02-24 15:00:00,0.5,106.8,106.9,0.206,96.81666773,10.31159168,0.25039947936696105,0.8257686011444707
2020-02-24 16:00:00,0.2,43.6,43.4,0.206,37.93333322,2.262366665,0.13269078882614893,1.0594924271191628
2020-02-25 07:00:00,0.0,0.0,0.0,0.206,0.0,-0.715739132,0.027328657421310975,-1.2451954595313595
2020-02-25 08:00:00,3.5,13.4,13.6,0.206,10.53333334,-0.197474998,0.15779361947481133,-1.022762941668677
